date_time,heart_rate,평소 안정된 심박수,total_max,total_min,total_average
20230722163357,67,67,121,67,100.7744227
20230722163357,67,,,,
20230722163358,68,,,,
20230722163359,69,,,,
20230722163400,70,,,,
20230722163401,72,,,,
20230722163402,75,,,,
20230722163403,77,,,,
,,,,,
1세트 운동시작,,,max,min,average
,,,90,79,87.93023256
20230722163404,79,,,,
20230722163406,81,,,,
20230722163407,82,,,,
20230722163408,85,,,,
20230722163409,87,,,,
20230722163410,88,,,,
20230722163411,88,,,,
20230722163412,89,,,,
20230722163413,89,,,,
20230722163414,89,,,,
20230722163415,89,,,,
20230722163416,89,,,,
20230722163417,90,,,,
20230722163418,89,,,,
20230722163419,89,,,,
20230722163420,89,,,,
20230722163421,89,,,,
20230722163422,89,,,,
20230722163423,89,,,,
20230722163424,89,,,,
20230722163425,88,,,,
20230722163426,88,,,,
20230722163427,88,,,,
20230722163428,88,,,,
20230722163429,88,,,,
20230722163430,87,,,,
20230722163431,88,,,,
20230722163432,88,,,,
20230722163433,88,,,,
20230722163434,88,,,,
20230722163435,88,,,,
20230722163436,88,,,,
20230722163437,88,,,,
20230722163438,89,,,,
20230722163439,89,,,,
20230722163440,89,,,,
20230722163441,89,,,,
20230722163442,89,,,,
20230722163443,89,,,,
20230722163444,89,,,,
20230722163445,89,,,,
20230722163446,89,,,,
20230722163448,89,,,,
,,,,,
운동 끝 휴식 시작,,,max,min,average
,,,102,86,95.16483516
20230722163449,89,,,,
20230722163450,90,,,,
20230722163451,90,,,,
20230722163452,90,,,,
20230722163453,90,,,,
20230722163454,89,,,,
20230722163455,89,,,,
20230722163456,89,,,,
20230722163457,90,,,,
20230722163458,91,,,,
20230722163459,93,,,,
20230722163500,96,,,,
20230722163501,98,,,,
20230722163502,99,,,,
20230722163503,100,,,,
20230722163504,101,,,,
20230722163505,102,,,,
20230722163506,102,,,,
20230722163507,101,,,,
20230722163508,101,,,,
20230722163509,101,,,,
20230722163510,102,,,,
20230722163511,102,,,,
20230722163512,100,,,,
20230722163513,98,,,,
20230722163514,96,,,,
20230722163515,95,,,,
20230722163516,96,,,,
20230722163517,96,,,,
20230722163518,96,,,,
20230722163519,95,,,,
20230722163520,95,,,,
20230722163521,95,,,,
20230722163522,95,,,,
20230722163523,95,,,,
20230722163524,95,,,,
20230722163525,95,,,,
20230722163526,96,,,,
20230722163527,96,,,,
20230722163528,97,,,,
20230722163529,96,,,,
20230722163530,96,,,,
20230722163531,97,,,,
20230722163532,97,,,,
20230722163533,97,,,,
20230722163534,97,,,,
20230722163535,97,,,,
20230722163536,97,,,,
20230722163537,98,,,,
20230722163538,99,,,,
20230722163539,100,,,,
20230722163540,100,,,,
20230722163541,100,,,,
20230722163542,100,,,,
20230722163543,100,,,,
20230722163544,100,,,,
20230722163545,100,,,,
20230722163546,100,,,,
20230722163547,100,,,,
20230722163548,99,,,,
20230722163549,98,,,,
20230722163550,98,,,,
20230722163551,97,,,,
20230722163552,97,,,,
20230722163553,97,,,,
20230722163554,97,,,,
20230722163555,97,,,,
20230722163556,98,,,,
20230722163557,99,,,,
20230722163558,99,,,,
20230722163559,98,,,,
20230722163600,98,,,,
20230722163601,97,,,,
