date_time,heart_rate,안정 심박도,max,min,average
20230722204806,83,72,114,83,102.1386719
,,,,,
1세트 시작,,,,,
,,,,,
20230722204807,83,,,,
20230722204808,83,,,,
20230722204809,83,,,,
20230722204810,85,,,,
20230722204811,87,,,,
20230722204812,89,,,,
20230722204813,90,,,,
20230722204814,91,,,,
20230722204815,92,,,,
20230722204816,92,,,,
20230722204817,93,,,,
20230722204818,94,,,,
20230722204819,95,,,,
20230722204820,96,,,,
20230722204821,97,,,,
20230722204822,98,,,,
20230722204823,98,,,,
20230722204824,98,,,,
20230722204825,98,,,,
20230722204826,98,,,,
20230722204827,97,,,,
20230722204828,97,,,,
20230722204829,97,,,,
20230722204830,97,,,,
20230722204831,97,,,,
20230722204832,97,,,,
20230722204833,97,,,,
20230722204834,97,,,,
20230722204835,97,,,,
20230722204836,97,,,,
20230722204837,97,,,,
20230722204838,97,,,,
20230722204839,97,,,,
20230722204840,97,,,,
20230722204841,97,,,,
20230722204842,97,,,,
20230722204843,97,,,,
20230722204844,98,,,,
20230722204845,98,,,,
20230722204846,98,,,,
20230722204847,98,,,,
20230722204848,98,,,,
,,,,,
1세트 끝 휴식 시작,,,,,
,,,,,
20230722204849,99,,,,
20230722204850,98,,,,
20230722204851,98,,,,
20230722204852,98,,,,
20230722204853,98,,,,
20230722204854,100,,,,
20230722204855,101,,,,
20230722204856,101,,,,
20230722204857,101,,,,
20230722204858,101,,,,
20230722204859,103,,,,
20230722204900,104,,,,
20230722204901,105,,,,
20230722204902,105,,,,
20230722204903,106,,,,
20230722204904,106,,,,
20230722204905,107,,,,
20230722204906,107,,,,
20230722204907,107,,,,
20230722204908,107,,,,
20230722204909,107,,,,
20230722204910,107,,,,
20230722204911,107,,,,
20230722204912,107,,,,
20230722204913,107,,,,
20230722204914,107,,,,
20230722204915,107,,,,
20230722204916,107,,,,
20230722204917,107,,,,
20230722204918,107,,,,
20230722204919,107,,,,
20230722204920,107,,,,
20230722204921,107,,,,
20230722204922,107,,,,
20230722204923,107,,,,
20230722204924,107,,,,
