date_time,heart_rate,안정 심박
20230723210720,104,72
20230723210721,104,
20230723210722,104,
20230723210723,106,
20230723210724,106,
20230723210725,106,
20230723210726,107,
20230723210727,108,
20230723210728,108,
20230723210729,109,
20230723210730,107,
20230723210731,105,
20230723210732,103,
20230723210733,101,
,,
1세트 운동 시작,,
,,
20230723210734,101,
20230723210735,99,
20230723210736,99,
20230723210737,98,
20230723210739,97,
20230723210740,97,
20230723210741,96,
20230723210742,96,
20230723210743,96,
20230723210744,97,
20230723210745,97,
20230723210746,97,
20230723210747,98,
20230723210748,98,
20230723210749,99,
20230723210750,99,
20230723210751,99,
20230723210752,100,
20230723210753,100,
20230723210754,100,
20230723210755,100,
20230723210756,101,
20230723210757,101,
20230723210758,101,
20230723210759,101,
20230723210800,101,
20230723210801,101,
20230723210802,101,
20230723210803,101,
20230723210804,101,
20230723210805,101,
20230723210806,101,
20230723210807,101,
20230723210808,101,
20230723210809,101,
20230723210810,101,
20230723210811,102,
,,
운동 끝 휴식 시작,,
,,
20230723210812,102,
20230723210813,103,
20230723210814,104,
20230723210815,104,
20230723210816,105,
20230723210817,105,
20230723210818,105,
20230723210819,105,
20230723210820,105,
20230723210821,105,
20230723210822,105,
20230723210823,105,
20230723210824,106,
20230723210825,107,
20230723210826,108,
20230723210827,109,
20230723210828,109,
20230723210829,110,
20230723210830,109,
20230723210831,109,
20230723210832,109,
20230723210833,108,
20230723210834,108,
20230723210835,107,
20230723210836,103,
20230723210837,100,
20230723210838,98,
20230723210839,96,
20230723210840,94,
20230723210841,93,
20230723210842,91,
20230723210843,91,
20230723210844,90,
20230723210845,91,
20230723210846,91,
20230723210847,92,
20230723210848,93,
20230723210849,93,
20230723210850,93,
20230723210851,94,
20230723210852,94,
20230723210853,93,
20230723210854,93,
20230723210855,92,
20230723210856,92,
20230723210857,91,
20230723210858,91,
20230723210859,91,
20230723210900,92,
20230723210901,92,
20230723210902,91,
20230723210903,91,
20230723210904,91,
20230723210905,90,
20230723210906,89,
20230723210907,89,
20230723210908,88,
20230723210909,87,
20230723210910,87,
20230723210911,86,
20230723210911,86,
20230723210912,86,
20230723210913,87,
20230723210914,87,
20230723210915,87,
20230723210916,87,
20230723210917,87,
20230723210918,86,
20230723210919,86,
20230723210920,86,
20230723210921,86,
20230723210922,87,
