date_time,heart_rate

1세트 운동 시작

20230725011340,91.0
20230725011341,94.0
20230725011342,95.0
20230725011343,96.0
20230725011344,97.0
20230725011345,99.0
20230725011346,100.0
20230725011347,101.0
20230725011348,102.0
20230725011349,103.0
20230725011350,103.0
20230725011351,103.0
20230725011352,103.0
20230725011353,103.0
20230725011354,103.0
20230725011355,104.0
20230725011356,104.0
20230725011357,104.0
20230725011358,104.0
20230725011359,104.0
20230725011400,104.0
20230725011401,103.0
20230725011402,102.0
20230725011403,101.0
20230725011404,101.0
20230725011405,101.0
20230725011406,101.0
20230725011407,102.0
20230725011408,102.0
20230725011409,101.0
20230725011410,101.0

운동 끝 휴식 시작

20230725011411,100.0
20230725011412,100.0
20230725011413,100.0
20230725011414,100.0
20230725011415,100.0
20230725011416,100.0
20230725011417,100.0
20230725011418,100.0
20230725011419,98.0
20230725011420,97.0
20230725011421,96.0
20230725011422,95.0
20230725011423,94.0
20230725011424,93.0
20230725011425,93.0
20230725011426,94.0
20230725011427,95.0
20230725011428,96.0
20230725011429,98.0
20230725011430,99.0
20230725011431,99.0
20230725011432,99.0
20230725011433,100.0
20230725011434,100.0
20230725011435,100.0
20230725011436,100.0
20230725011437,101.0
20230725011438,101.0
20230725011439,101.0
20230725011440,102.0
20230725011441,102.0
20230725011442,102.0
20230725011443,102.0
20230725011444,102.0
20230725011445,102.0
20230725011446,102.0
20230725011447,102.0
20230725011448,102.0
20230725011449,100.0
20230725011450,99.0
20230725011451,99.0
20230725011452,98.0
20230725011453,98.0
20230725011454,97.0
20230725011455,96.0
20230725011456,96.0
20230725011457,95.0
20230725011458,95.0
20230725011459,95.0
20230725011500,96.0
20230725011501,96.0
20230725011502,96.0
20230725011503,95.0
20230725011504,95.0
20230725011505,95.0
20230725011506,95.0
20230725011507,96.0
20230725011508,96.0
20230725011509,96.0
20230725011510,96.0
20230725011511,95.0
20230725011512,94.0
20230725011513,94.0
20230725011514,94.0
20230725011515,94.0
20230725011516,95.0
20230725011517,96.0
20230725011518,96.0
20230725011519,96.0
20230725011520,96.0
20230725011521,95.0
20230725011522,94.0
20230725011523,94.0
20230725011524,93.0
20230725011525,92.0
20230725011526,92.0
20230725011527,92.0
20230725011528,92.0
